ID	BW	Trig_S	Chol_S	Insulin_S	Glucose_S	Ins_Glu_ratio	TG_liver	Chol_liver	FGF21_S	UricAcid_S
s14	1.080240666	-0.464293803	-0.801806392	1.695251193	2.067983411	0.175467483	1.463774841	1.298356968	0.40304749	-1.103149695
s15	3.046581467	-0.01448995	0.66237997	1.623683861	1.484261268	0.359900459	1.32105341	0.338750107	0.073797152	0.359272492
s16	1.37946644	1.094578654	0.839553205	0.621741203	0.633745877	0.089398762	-0.577065749	-1.100660184	2.068744842	-0.413017877
s17	1.422212979	0.644774802	1.571646386	0.908010534	-0.277648511	0.974677043	1.051841334	-0.3009878	-0.668579052	0.359272492
s18	1.89242491	0.749505251	1.240700154	0.192337207	2.651705553	-0.808175051	1.157684767	1.671537414	-0.66326036	0.433215187
s19	1.251226823	1.901540193	-0.180028622	1.552116528	1.269394222	0.44596918	-0.527246723	0.018881154	-0.071999694	1.271232395
s20	0.054323727	0.153347309	-0.551089549	0.263904539	0.644489229	-0.193398467	-0.132772866	0.605307569	-0.673887881	-0.084383677
s21	0.994747588	-0.65361423	-1.146124189	1.695251193	-0.522955056	2.007501704	0.684679446	1.138422491	1.059216074	-0.717004511
s22	0.652775275	-0.129961984	0.411663127	-0.738038118	-0.544441761	-0.500786759	-0.413967107	-0.674168246	-0.486087247	0.556453011
s23	0.268056423	-0.464293803	-0.6079187	-0.52333612	-0.379710358	-0.365535911	0.816299128	0.232127123	-0.623957062	-0.503392281
s24	0.182563344	0.131864139	-1.296554295	-1.167442115	-0.718125956	-0.918834836	0.526988675	0.551996076	-0.998327128	-1.316761925
s25	0.268056423	0.382948678	0.150917611	-0.594903453	-0.954479707	-0.14421634	-0.872736673	-0.887414215	-0.021780577	-0.429449587
s26	-0.544127821	0.02713369	-1.697701243	0.621741203	-0.247209013	0.679584282	-0.029960552	1.404979953	-0.575008452	-0.240484922
s27	-1.441805143	1.670596126	0.565436124	1.623683861	-1.301848099	3.310828063	-1.293380316	-1.153971677	2.639522856	-0.83202648
s28	-0.373141665	3.29391809	-0.083084776	1.194279864	-1.067284907	2.290298933	-0.949445878	-0.514233769	1.366610972	1.49306048
s29	-0.287648586	-1.134300139	-1.132752624	-0.451768788	-0.401197063	-0.254876126	-1.14199422	-0.514233769	-0.945340991	-0.996343581
s30	0.823761431	-0.559625366	-1.102666603	0.764875868	-0.288391864	0.851721726	1.563735363	0.87186503	-0.406329914	0.244250522
s31	0.652775275	1.68133771	1.42121628	-0.165499457	-0.924040209	0.347604927	-1.543329679	-1.47384063	1.700863581	1.879205664
s32	0.097070266	0.738763666	0.01385907	-0.809605451	-1.373470448	-0.107329745	-1.148901262	-0.354299292	2.850464135	-0.224053212
s33	0.011577188	-0.736861511	1.641847102	-0.451768788	-1.609824199	0.753357473	-0.619073627	-0.727479738	0.310531935	-0.544471557
s34	-2.125749769	-1.271255342	-0.978979627	-1.453711445	-1.169346754	-1.115563343	0.686315964	-1.687086599	0.787080232	-0.207621502
s35	-0.031169351	-0.747603095	1.267443284	0.407039205	0.37769598	0.07710323	-0.794073415	0.285438615	0.243749704	0.975461616
s36	-1.527298221	-1.459233071	0.09408846	-1.382144113	-0.34927086	-1.213927597	-1.471892593	-0.460922277	NA	1.287664105
s37	0.567282196	-1.114159668	-0.484231724	-0.666470786	1.084966674	-0.992608027	-0.665408363	-0.247676308	-0.611341649	-0.371938601
s38	-0.458634743	-1.302137397	-0.303715598	-1.382144113	-0.830931156	-1.127858875	-0.575446088	1.138422491	-0.245529005	0.326409072
s39	0.225309883	-0.977204465	1.020069332	-1.31057678	1.473517916	-1.435247167	1.165873452	0.765242045	-0.38514584	-0.905969175
s40	-0.501381282	-1.02956969	-1.874874479	-0.666470786	0.57286688	-0.832766115	1.046257515	0.445373092	-0.774559114	-0.700572801
s41	-0.800607056	-0.957063994	-0.63466183	0.621741203	2.109166261	-0.427013569	0.314145925	-0.247676308	-0.752323473	-0.273348342
s42	-0.800607056	-1.229631702	0.702494665	-1.024307449	-0.329574714	-0.906539305	-0.375762383	-0.3009878	-0.762609943	-1.50572659
s43	-1.399058604	-0.747603095	-1.139438407	-1.239009447	0.204011784	-1.226223129	-0.041091138	-0.834102723	-0.605918922	-0.848458191
s44	-1.6127913	0.928084094	0.618922384	-0.594903453	-1.042217085	-0.058147619	-1.559818237	-0.460922277	0.29711344	0.014206583
s45	-0.928846673	-0.601249006	1.805648773	0.263904539	0.30786419	-0.045852087	-0.210128697	0.17881563	2.171773324	-1.185308245
s46	1.122987205	-0.601249006	0.538692994	0.836443201	0.542427382	0.310718332	-0.796511279	-0.3009878	-0.733359267	-1.086717985
s47	-0.544127821	-0.307198129	-0.828549522	0.979577866	-0.080687052	0.839426194	-1.401468743	-1.153971677	-0.951649556	-0.96348016
s48	-0.202155508	0.382948678	-0.978979627	0.764875868	-0.854208419	1.454202779	-1.00186983	-0.834102723	0.40304749	0.038854147
